Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60601,12/24/2020,9,306,9,306,0.02,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201224
60601,12/25/2020,0,306,0,306,0.02,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201225
60601,12/26/2020,10,316,10,316,0.021,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201226
60601,12/27/2020,0,316,0,316,0.021,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201227
60601,12/29/2020,27,365,27,365,0.024,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201229
60601,12/30/2020,34,399,34,399,0.026,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201230
60601,12/31/2020,14,413,14,413,0.027,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201231
60601,01/01/2021,1,414,1,414,0.027,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210101
60601,01/02/2021,8,422,8,422,0.028,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210102
60601,01/03/2021,5,427,5,427,0.028,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210103
60601,01/04/2021,33,460,31,458,0.03,2,2,0,15083,POINT (-87.622844 41.886262),60601-20210104
60601,01/05/2021,36,496,34,492,0.033,2,4,0,15083,POINT (-87.622844 41.886262),60601-20210105
60601,01/06/2021,20,516,13,505,0.033,7,11,0.001,15083,POINT (-87.622844 41.886262),60601-20210106
60601,01/07/2021,56,572,18,523,0.035,38,49,0.003,15083,POINT (-87.622844 41.886262),60601-20210107
60601,01/08/2021,84,656,22,545,0.036,62,111,0.007,15083,POINT (-87.622844 41.886262),60601-20210108
60601,01/09/2021,45,701,11,556,0.037,34,145,0.01,15083,POINT (-87.622844 41.886262),60601-20210109
60601,01/10/2021,12,713,3,559,0.037,9,154,0.01,15083,POINT (-87.622844 41.886262),60601-20210110
60601,01/11/2021,64,777,10,569,0.038,54,208,0.014,15083,POINT (-87.622844 41.886262),60601-20210111
60601,01/12/2021,73,850,27,596,0.04,46,254,0.017,15083,POINT (-87.622844 41.886262),60601-20210112
60601,01/13/2021,49,899,27,623,0.041,22,276,0.018,15083,POINT (-87.622844 41.886262),60601-20210113
60602,01/16/2021,7,117,7,87,0.076,0,30,0.026,1145,POINT (-87.628309 41.883136),60602-20210116
60602,01/17/2021,3,120,2,89,0.078,1,31,0.027,1145,POINT (-87.628309 41.883136),60602-20210117
60606,02/02/2021,12,514,9,362,0.11,3,152,0.046,3287,POINT (-87.63676 41.882634),60606-20210202
60606,02/03/2021,9,523,9,371,0.113,0,152,0.046,3287,POINT (-87.63676 41.882634),60606-20210203
60616,01/16/2021,55,2453,36,1810,0.033,19,643,0.012,54197,POINT (-87.629531 41.844869),60616-20210116
60616,01/17/2021,18,2471,8,1818,0.034,10,653,0.012,54197,POINT (-87.629531 41.844869),60616-20210117
60619,01/16/2021,25,892,24,783,0.013,1,109,0.002,61207,POINT (-87.60569 41.744737),60619-20210116
60619,01/17/2021,6,898,3,786,0.013,3,112,0.002,61207,POINT (-87.60569 41.744737),60619-20210117
60619,01/18/2021,49,947,37,823,0.013,12,124,0.002,61207,POINT (-87.60569 41.744737),60619-20210118
60619,01/19/2021,108,1055,85,908,0.015,23,147,0.002,61207,POINT (-87.60569 41.744737),60619-20210119
60619,01/20/2021,121,1176,89,997,0.016,32,179,0.003,61207,POINT (-87.60569 41.744737),60619-20210120
60619,01/21/2021,180,1356,150,1147,0.019,30,209,0.003,61207,POINT (-87.60569 41.744737),60619-20210121
60619,01/22/2021,260,1616,251,1398,0.023,9,218,0.004,61207,POINT (-87.60569 41.744737),60619-20210122
60619,01/23/2021,100,1716,97,1495,0.024,3,221,0.004,61207,POINT (-87.60569 41.744737),60619-20210123
60619,01/24/2021,30,1746,28,1523,0.025,2,223,0.004,61207,POINT (-87.60569 41.744737),60619-20210124
60619,01/25/2021,138,1884,120,1643,0.027,18,241,0.004,61207,POINT (-87.60569 41.744737),60619-20210125
60619,01/26/2021,155,2039,123,1766,0.029,32,273,0.004,61207,POINT (-87.60569 41.744737),60619-20210126
60619,01/27/2021,190,2229,167,1933,0.032,23,296,0.005,61207,POINT (-87.60569 41.744737),60619-20210127
